Day 1,BREAK,PROJ(SA),PYTHON-KK,ELE-OOAD-MRS/IOT-RS,LUNCH,PYTHON-KK,OOAD-MRS/IOT-RS,BREAK,"PROJ(MRS)
(403)"
Day 2,BREAK,PROJ(NA),OOAD/IOT-402/403-RS,OOAD/IOT-402/403-RS,LUNCH,"PROJ(LS)
(908)",BREAK,Python (KK)- 908,Python (KK)- 908
Day 3,BREAK,OOAD-MRS/IOT-RS,PYTHON-KK,PYTHON-KK,LUNCH,"PROJ(SB)
(908)",PROJ(MRS),BREAK,"PROJ(BE)
(403)"
Day 4,BREAK,LIB,OOAD/IOT-402/403-LS,OOAD/IOT-402/403-LS,LUNCH,Python (KK)- 708,PROJ(NN),BREAK,"PROJ(LS)
(908)"
Day 5,BREAK,OOAD-MRS/IOT-RS,LIB,"PROJ(LS)
(908)",LUNCH,Python (KK)- 708,PROJ(MRS),BREAK,PROJ(BN)
