Day 1,"CN LAB(JVS)
402",CN(JVS),BREAK,"PYTHON LAB (RJ) 
402","PYTHON LAB (RJ) 
402",LUNCH,LIB,CDC,BREAK
Day 2,LIB,CN (JVS),BREAK,Maths,"R (AN)
708 LAB",LUNCH,"ANDROID/C#/ST-
SAR,PC,BE,RS,RK,MRS,BN
708,403,402",ANDROID/C#/ST,BREAK
Day 3,LIB,CN(JVS),BREAK,ANDROID/C#/ST,Maths,LUNCH,"PYTHON 
(RJ)",LIB,BREAK
Day 4,Maths,CDC,BREAK,"PYTHON
(RJ)",LIB,LUNCH,"ANDROID/C#/ST 
SAR,PC,DH,RS,RK,MRS,BN
708,403,402",ANDROID/C#/ST,BREAK
Day 5,"R-(AN)
908",Maths,BREAK,LIB,"PYTHON
(RJ)",LUNCH,CDC,"CN LAB- (JVS)
708",BREAK
