Day 1,LIB,"CN (DH)
LAB 908",BREAK,"PYTHON LAB (RK)
708","PYTHON LAB (RK)
708",LUNCH,Maths,"R LAB(AS)
908",BREAK
Day 2,LIB,"CN
(DH)",BREAK,CDC,Maths,LUNCH,"ANDROID/C#/ST
SAR,PC,BE,RS,RK,MRS,BN
708,403,402",ANDROID/C#/ST,BREAK
Day 3,LIB,"CN
(DH)",BREAK,ANDROID/C#/ST,CDC,LUNCH,"PYTHON
(RK)",LIB,BREAK
Day 4,LIB,"PYTHON
(RK)",BREAK,"CN LAB(DH)
708",Maths,LUNCH,"ANDROID/C#/ST
SAR,PC,DH,RS,RK,MRS,BN
708,403,402",ANDROID/C#/ST,BREAK
Day 5,LIB,"CN
(DH)",BREAK,Maths,CDC,LUNCH,"PYTHON
(RK)","R(AS) LAB
908",BREAK
